mes;dia;RadSolar
1;7;3098.6346296296297
1;19;4446.838888888888
1;23;3824.250185185185
1;26;3759.1216666666664
1;29;4291.7437037037025
2;12;3598.4617592592595
2;16;4577.273518518519
2;18;4180.373333333334
2;19;4079.296388888888
2;20;3960.86537037037
2;22;3042.8524074074066
2;24;3166.9338888888883
2;29;3897.3505555555553
3;16;3355.2085185185188
3;22;3130.437407407407
3;23;3160.2867592592584
3;24;4210.202129629629
4;7;3235.3518518518513
4;9;3122.506851851851
4;10;3222.713888888888
4;11;3813.007222222221
4;14;3727.7046296296285
4;15;3868.5783333333325
4;17;4050.5577777777776
4;18;3537.6042592592585
4;20;3242.9225925925925
4;27;4143.096296296296
4;28;4043.5238888888894
4;29;3632.158333333333
4;30;4162.261666666666
5;2;3770.421481481481
5;3;4399.554444444444
5;8;4132.689351851851
5;9;3318.1684259259255
5;11;4381.080648148148
5;12;3639.221111111111
5;18;3813.8649074074074
5;19;3381.956666666666
5;20;3330.7531481481483
5;21;3803.0695370370368
5;27;3251.6413888888883
5;30;4176.620277777777
5;31;3908.618611111111
6;1;3146.863055555555
6;3;3699.1130555555555
6;6;4108.253055555556
6;12;3191.315370370371
6;13;4230.569814814816
6;15;3561.807222222223
6;17;3176.066574074074
6;18;3806.5453703703706
6;19;3887.9273148148145
6;20;3571.2794444444444
6;25;3349.392129629629
6;28;3441.092222222222
6;29;4016.5531481481476
6;30;3296.298333333333
7;1;3938.7339814814814
7;3;4264.742407407407
7;4;3579.8331481481478
7;6;3039.0776851851847
7;9;3418.964907407407
7;10;3131.10074074074
7;13;3740.06
7;15;3348.5922222222225
7;16;3697.54
7;18;3339.477592592592
7;19;3647.115555555555
7;21;3062.981666666667
7;25;3071.678703703704
7;26;4147.802314814814
7;27;3177.19287037037
7;31;3411.2557407407403
8;2;3350.5849074074063
8;4;3988.7607407407404
8;6;4681.777962962962
8;7;4229.653425925925
8;8;3487.919444444443
8;16;4636.259629629629
8;17;3598.4162037037026
8;20;4023.6557407407404
8;22;3570.04074074074
8;23;4173.31824074074
8;24;4221.443148148148
8;25;3292.697777777777
8;26;3200.326388888889
8;28;4256.085
9;1;4585.9961111111115
9;2;3789.513055555555
9;3;4504.107037037035
9;4;3155.634351851852
9;5;3516.2158333333323
9;7;3752.3366666666657
9;8;3699.046018518518
9;13;5375.979814814813
9;14;4146.838518518518
9;15;4289.677222222221
9;16;3743.0779629629624
9;26;4453.229166666668
9;27;4811.600277777777
10;1;5364.4958333333325
10;2;4740.778888888888
10;3;4125.9319444444445
10;4;3455.1155555555556
10;5;4243.043888888889
10;6;4015.621944444445
10;12;4160.434444444444
10;13;3186.1377777777784
10;14;3670.263888888888
10;16;3526.909166666667
10;17;3097.1572222222226
10;25;4846.828888888889
10;26;4768.640370370372
10;27;5104.474629629629
10;28;5280.647592592592
10;29;3777.9824074074077
10;30;4358.672222222222
10;31;4573.330185185186
11;1;4226.584259259258
11;7;4725.914259259258
11;17;3869.392037037036
11;20;4087.5342592592588
11;21;3268.2883333333325
12;11;4129.39037037037
12;20;4271.857777777776
12;21;3501.8849999999993
12;26;4289.2972222222215
