mes;dia;RadSolar
1;2;3604.12784669299
1;19;4555.114557336843
1;22;3407.4609843998596
1;23;4271.415973657296
1;26;3884.6036118504517
1;29;4242.254875208126
1;30;3202.3711106281285
2;12;4618.520388194147
2;16;4723.482165722506
2;18;4721.065785810089
2;19;3169.2489617878814
2;20;3732.0386555511286
2;22;3484.48457419961
2;24;3974.128825931344
2;29;4707.473062562438
3;2;3330.723845540042
3;15;3062.469099996564
3;16;3020.4148303670536
3;19;3840.4403707879424
3;22;4181.764426441284
3;23;3824.922569131596
3;24;4548.745273280621
3;27;3435.1339734339736
3;30;3391.0792703301986
4;3;3050.0712229357946
4;7;3670.4316579776046
4;9;3313.350572220108
4;10;3291.002794939849
4;11;3781.910746759193
4;14;4315.600984833288
4;15;4346.541233045394
4;17;4274.473156794264
4;18;3423.708040201862
4;20;3627.311893914947
4;21;3257.6515484660845
4;27;4847.65728304764
4;28;3886.892405494638
4;29;3753.960494021851
4;30;3924.3052447829946
5;2;3285.4047614706724
5;3;3409.524586850319
5;8;3455.2124874777996
5;9;3434.3245076689186
5;11;4198.341634542706
5;12;3536.3295334777654
5;14;3283.5490334073993
5;18;3318.660120350879
5;20;3527.314018248616
5;21;3244.466221600159
5;27;3458.6344563165007
5;28;3291.2037300249353
5;30;4417.428363993149
6;1;3125.2886003034664
6;3;3401.2649303722073
6;6;3003.038597549276
6;13;3355.6199496726817
6;15;3070.0779072409073
6;17;3125.3858366653185
6;18;3193.913457318475
6;19;3214.2984521483804
6;20;3716.2492067780104
6;24;3028.281724071563
6;25;3194.930045225938
6;28;3498.5456202042005
6;29;4274.369765388381
6;30;3197.883550933524
7;1;4016.401447040393
7;2;3286.1055628131785
7;3;4150.588777861689
7;4;3659.238754650442
7;6;3243.4963402199655
7;7;3400.5693355123713
7;13;4341.752710579103
7;19;3396.837298575432
7;21;3311.336328373346
7;25;3703.4274802604796
7;26;4290.127945592767
7;27;3019.099459676236
7;31;3161.2291773339093
8;2;3751.4537417912775
8;4;3239.214159405409
8;6;3991.2971125660056
8;7;4107.025457008269
8;8;4166.603535980554
8;16;4357.081738761239
8;17;3217.4973146430284
8;19;3805.1260297625654
8;20;4688.600295623358
8;22;4468.748076082647
8;23;4685.7108946014305
8;24;4610.737773714381
8;25;3199.2645302795745
8;26;3045.3748601804937
8;27;4092.18635952077
8;28;3303.6400754866822
8;31;3307.6724502587363
9;1;4998.296296296296
9;2;4437.237721553909
9;3;4697.289251971573
9;4;3910.8140346250966
9;5;4447.075986909254
9;7;4451.66082895907
9;8;4459.171916889327
9;13;4904.505675121836
9;14;3552.2585499203183
9;15;3568.1791027920494
9;16;4897.004133608454
9;18;3522.710576209505
9;20;3112.349064269065
9;26;4607.936099416457
9;27;3942.5331450335375
10;1;4822.158193671407
10;2;3950.8902341596895
10;3;4309.863331543456
10;4;5684.233124684839
10;5;4967.623435904374
10;6;5174.306520475556
10;12;3676.678241982225
10;13;3747.440112296434
10;14;4587.833689379074
10;16;3597.0678499754217
10;17;3926.2147705171815
10;25;5267.647477402888
10;26;5065.843256707578
10;27;4037.882174989032
10;28;4857.962538147038
10;29;5439.478819630106
10;30;4334.767188270725
10;31;4714.855490803178
11;1;4549.211302733642
11;7;3590.7529324425577
11;17;4562.665725642743
11;20;4640.393138957603
11;21;3909.7822955325096
12;11;5091.493184048095
12;20;4355.182727902388
12;21;3177.2763734321234
12;26;4509.0042222579
