mes;dia;RadSolar
1;19;4283.298518518518
1;23;4261.386111111111
1;26;3388.6579629629628
1;29;3547.6062962962956
1;30;3554.6159259259252
2;12;4373.094166666666
2;16;4281.558888888889
2;18;4118.189629629629
2;19;4158.964537037036
2;20;3953.8646296296292
2;22;4162.512592592592
2;24;3709.289814814814
2;29;3803.118888888888
3;2;3665.5411111111102
3;16;3716.519259259258
3;22;3329.8877777777766
3;23;3660.887777777777
3;24;4200.190092592591
3;30;3758.807037037036
4;7;3722.2666666666664
4;9;3698.3412962962957
4;10;3872.9972222222214
4;11;3653.701666666666
4;15;3816.1296296296287
4;17;3507.5449999999996
4;28;3907.3201851851854
4;29;4004.100925925925
5;3;3938.5868518518523
5;7;3260.6036111111107
5;8;4245.182129629628
5;11;3999.6056481481473
5;12;3897.692407407407
5;18;3906.1431481481486
5;19;3535.146296296296
5;21;3403.9749999999995
5;27;4588.301111111111
5;28;3897.9874999999993
5;29;3407.5986111111106
5;30;3861.0572222222218
5;31;3379.395
6;1;3869.8833333333337
6;3;3630.9116666666673
6;4;3181.3369444444434
6;5;3105.23
6;6;4881.824444444444
6;12;3608.5407407407397
6;13;4214.359629629629
6;15;3636.2330555555554
6;17;3472.7041666666655
6;18;4520.607129629628
6;19;3981.249629629629
6;20;4164.086666666665
6;21;3117.675555555555
6;24;3473.880462962963
6;25;3282.96037037037
6;28;3540.4813888888884
6;29;4420.0303703703685
6;30;4279.379444444443
7;1;3041.1599999999994
7;2;4848.339166666667
7;3;4668.69037037037
7;4;4884.443981481481
7;6;3790.167407407407
7;7;4145.973611111111
7;9;4318.751574074074
7;10;4680.35611111111
7;13;3922.562037037036
7;15;3968.7657407407405
7;16;3894.6101851851854
7;18;4605.029537037036
7;19;3475.673333333333
7;21;3586.100555555555
7;25;4316.319629629629
7;26;4590.247314814816
7;27;3443.3263888888882
8;2;3070.540833333332
8;4;4462.492037037036
8;5;3099.8368518518514
8;6;3805.275555555555
8;7;3817.10824074074
8;8;3491.553518518517
8;16;3574.964444444443
8;17;3097.0796296296285
8;20;4507.421388888888
8;22;3287.243703703703
8;23;3611.177222222221
8;24;3537.591759259258
8;25;3154.463425925925
8;26;3204.5022222222215
8;27;3326.469537037036
8;28;4496.869259259259
9;1;4718.73037037037
9;2;3650.9673148148136
9;3;4061.679074074072
9;4;3550.17361111111
9;5;4375.2122222222215
9;7;3803.945092592592
9;8;3646.2055555555544
9;13;3111.3018518518506
9;14;3378.6644444444432
9;15;4236.98111111111
9;16;3172.4449999999997
9;26;3196.5002777777777
9;27;3587.957777777777
10;1;3196.486666666666
10;2;3110.28361111111
10;3;4595.838333333331
10;5;4288.7441666666655
10;6;4388.829444444444
10;13;3259.124722222221
10;16;3740.3675
10;17;3057.9458333333328
10;25;4185.257962962962
10;26;4218.919074074074
10;27;3966.1444444444433
10;28;4191.523518518518
10;29;3655.458518518517
10;31;3748.1354629629623
11;1;3980.684629629629
11;7;3649.129629629629
11;17;4151.355185185185
11;20;3363.1335185185185
12;11;4365.9451851851845
12;20;4096.746666666666
12;21;4406.653333333333
12;26;4127.438518518517
