mes;dia;RadSolar
1;7;3117.2785185185185
1;19;4629.87037037037
1;23;4011.606481481481
1;26;3508.708148148148
1;29;4289.153518518518
1;30;3670.134629629629
2;12;4283.459814814813
2;16;4483.997592592592
2;18;3473.824814814815
2;19;3787.1167592592587
2;20;3433.613888888888
2;22;3005.872407407407
2;24;3224.589814814814
2;29;4178.7988888888885
3;2;3191.2020370370374
3;16;4130.963796296296
3;22;3713.1988888888886
3;23;3479.463055555555
3;24;3954.939259259259
3;27;3222.3279629629633
3;30;3632.5931481481475
4;9;3764.519444444444
4;10;3137.4261111111105
4;11;4148.556296296296
4;15;3403.267777777777
4;17;4268.911666666666
4;18;3163.0883333333327
4;27;4043.5361111111115
4;28;4252.01425925926
4;29;3740.919444444444
5;2;3577.0841666666665
5;3;4487.753333333334
5;8;4533.890185185185
5;9;3631.8383333333327
5;11;3873.7623148148136
5;12;4282.30574074074
5;18;3625.0704629629636
5;19;3418.412962962963
5;21;3406.3299999999995
5;27;3851.4919444444436
5;28;4013.663888888888
5;29;3533.7908333333335
5;30;4119.9655555555555
5;31;4298.011388888889
6;1;3840.0694444444443
6;3;3094.125
6;6;4124.815
6;12;3407.833333333333
6;13;5047.31111111111
6;15;3113.308518518518
6;17;3507.3219444444444
6;18;4084.6871296296295
6;19;3977.9835185185184
6;20;4516.116851851852
6;25;3159.4248148148145
6;28;4111.6807407407405
6;29;4303.846018518519
6;30;3194.683518518518
7;1;4126.572037037036
7;2;3016.010972222222
7;3;4860.475925925925
7;4;4062.3105555555553
7;6;3432.4185185185183
7;7;4312.031574074074
7;9;3498.2099074074076
7;10;3464.529259259259
7;13;3520.2512962962965
7;15;3731.8986111111108
7;18;4444.866018518518
7;19;3348.656851851852
7;21;3919.366851851852
7;25;3775.9437037037032
7;26;4205.899351851851
7;27;3287.2637962962963
7;31;3636.46074074074
8;2;3751.810092592592
8;4;4287.234814814815
8;5;3066.607222222222
8;6;4980.283148148146
8;7;3722.771851851851
8;8;3729.642685185184
8;16;3510.937407407407
8;17;3300.8229629629623
8;19;3329.011111111111
8;20;3716.5610185185174
8;22;3975.0401851851843
8;23;4008.2062962962955
8;24;4203.481296296296
8;25;3151.101018518518
8;26;3651.7427777777775
8;27;3376.851666666666
8;28;4901.890462962962
9;1;5091.896296296296
9;2;4015.875185185184
9;3;3594.362407407407
9;4;3670.007499999999
9;5;4233.635833333332
9;7;5098.929629629629
9;8;3946.3724074074066
9;13;4952.515277777777
9;14;4282.049074074074
9;15;4612.864814814814
9;16;4589.222222222223
9;26;4590.048611111111
9;27;4933.838888888889
10;1;4579.660555555555
10;2;4050.0583333333325
10;3;3513.4461111111104
10;4;4827.099444444443
10;5;4497.600555555556
10;6;5357.010833333333
10;12;4530.329722222223
10;13;4484.4725
10;14;4971.353611111112
10;16;3446.824444444444
10;17;3262.7208333333338
10;25;3493.1755555555555
10;26;4682.637592592592
10;27;5168.002962962963
10;28;5325.502407407408
10;29;3861.398333333333
10;30;3922.0894444444443
10;31;3609.983055555554
11;1;5255.3509259259245
11;7;4736.455555555554
11;17;4142.7955555555545
11;20;4829.4179629629625
11;21;3004.7637037037034
12;11;4827.001481481481
12;20;4222.792222222221
12;21;4137.487962962962
12;26;4647.615185185185
