mes;dia;RadSolar
1;2;3676.6446296296285
1;7;3188.1896296296295
1;19;3987.1833333333334
1;22;3074.996666666667
1;23;4594.893148148149
1;26;3345.7774074074073
1;27;3073.9957407407405
1;29;4859.294074074074
1;30;4410.371296296296
2;12;4146.2186111111105
2;16;5310.538888888888
2;18;3790.2522222222215
2;19;4188.617685185184
2;20;3363.131574074074
2;22;3606.544629629629
2;24;3776.1848148148147
2;29;4264.413888888888
3;2;3029.475185185185
3;16;3012.5514814814815
3;19;3825.7059259259254
3;22;3426.592962962963
3;23;3793.816018518518
3;24;4866.531203703703
3;27;3771.5766666666664
3;30;3100.5183333333334
4;7;3638.0777777777776
4;9;3230.2209259259257
4;10;3201.436666666666
4;11;3712.5633333333335
4;14;3419.2742592592595
4;15;3830.7527777777773
4;17;4320.508148148148
4;18;4136.949259259259
4;20;3752.9246296296296
4;21;3013.3887037037034
4;27;4641.1428703703705
4;28;4205.283518518519
4;29;4043.401111111111
4;30;4300.384074074073
5;2;3511.0328703703703
5;3;3897.0366666666664
5;8;3605.503888888888
5;9;4527.433518518518
5;11;3713.144999999999
5;12;4321.277592592592
5;18;3663.2054629629633
5;20;3826.455
5;21;3812.1627777777776
5;27;3830.8297222222213
5;28;3336.8749999999995
5;29;3124.0387037037035
5;30;3910.6736111111104
6;1;3540.5977777777775
6;3;3128.4255555555555
6;6;3199.269444444444
6;12;3501.7235185185186
6;13;4539.491481481482
6;15;3962.8505555555553
6;17;3209.857407407407
6;18;3554.401018518519
6;19;3671.010092592592
6;20;4070.975185185185
6;21;3390.3111111111116
6;22;3009.6935185185193
6;24;3480.766018518518
6;25;3077.0931481481484
6;28;4279.279351851852
6;29;4824.783796296296
6;30;3288.144259259259
7;1;4397.212685185185
7;2;3498.5699537037035
7;3;5247.595555555555
7;4;4349.669351851851
7;6;3854.2562962962966
7;7;3353.1825000000003
7;9;3055.700740740741
7;13;4293.9435185185175
7;18;3231.1200925925923
7;21;3840.5868518518523
7;25;3479.9083333333333
7;26;4028.3960185185183
7;27;3576.260462962963
8;2;3249.6224074074066
8;4;3774.963333333333
8;6;4171.601296296297
8;7;4488.811481481481
8;8;3983.3210185185176
8;16;3874.184629629629
8;17;3305.4996296296285
8;19;3072.909629629629
8;20;4053.1609259259253
8;22;5096.692962962963
8;23;4816.090925925925
8;24;5079.798148148148
8;27;3571.8977777777777
8;28;3957.128796296296
9;1;5588.1620370370365
9;2;4370.4238888888885
9;3;4442.026666666667
9;4;3737.3120370370366
9;5;4332.681851851851
9;7;4563.751203703704
9;8;4441.195555555556
9;11;3193.0696296296296
9;13;5106.172962962964
9;14;3479.8675925925927
9;15;3373.7290740740737
9;16;4359.710555555555
9;26;5062.249166666667
9;27;3610.8466666666664
10;1;5397.640555555556
10;2;5381.165277777776
10;3;3835.1191666666673
10;4;5041.936111111111
10;5;4636.424722222223
10;6;5383.86861111111
10;12;3774.881944444445
10;13;3353.7922222222223
10;14;3244.3747222222223
10;16;3282.792222222223
10;17;3546.1116666666667
10;25;5109.356296296297
10;26;4511.333888888889
10;27;5349.752222222223
10;28;4436.64648148148
10;29;4597.663518518518
10;30;3988.1290740740733
10;31;4333.418796296295
11;1;3713.7611111111105
11;7;4256.197037037036
11;17;5013.633888888889
11;20;3714.7157407407403
11;21;3857.670185185185
12;11;4995.327592592593
12;20;4077.9396296296286
12;26;4642.7614814814815
