mes;dia;RadSolar
1;7;3777.729444444444
1;19;4585.556481481482
1;23;4399.533703703703
1;26;3873.2459259259263
1;29;3159.243518518519
1;30;4091.670555555555
2;12;4091.165740740741
2;16;4742.552407407407
2;18;3676.480925925926
2;19;3400.7047222222222
2;20;3648.308425925926
2;22;3912.1751851851855
2;24;3204.799444444444
2;29;3602.1977777777774
3;2;3812.535185185185
3;16;3739.8455555555556
3;19;4399.484074074074
3;22;4339.797777777778
3;23;3540.8810185185184
3;24;4870.959074074073
3;27;3514.0311111111105
3;30;3844.2757407407403
4;3;3597.710185185185
4;7;3858.9622222222215
4;9;4043.678148148147
4;10;3687.7296296296295
4;11;3767.4390740740737
4;14;3300.861851851852
4;15;3925.530740740741
4;17;3903.11037037037
4;18;3856.3816666666667
4;20;3422.961666666666
4;27;3345.7089814814813
4;28;3670.014814814814
4;29;4042.5449999999996
5;3;3307.0996296296294
5;8;3287.8091666666664
5;9;4062.2009259259257
5;18;3414.7578703703693
5;19;3285.7131481481483
5;20;3374.3708333333334
5;21;4242.306666666666
5;27;4744.6897222222215
5;28;4273.084722222221
5;29;3373.4602777777773
5;30;3563.0816666666665
5;31;3285.152222222221
6;1;3655.296388888889
6;6;3641.2374999999997
6;12;3037.4118518518517
6;13;3260.6544444444444
6;14;3022.1896296296295
6;15;3329.930648148148
6;18;3685.1715740740738
6;19;3631.5850925925915
6;20;3208.5764814814816
6;24;3149.6154629629623
6;25;3511.754722222222
6;29;3565.703518518518
6;30;3758.5357407407405
7;2;3667.7092592592594
7;3;3592.9427777777773
7;4;3390.181203703703
7;6;3133.176481481481
7;9;3252.3084259259253
7;10;3220.7016666666664
7;13;3318.8670370370373
7;18;3325.2524074074067
7;19;3140.6095370370367
7;21;3330.8990740740737
7;25;3011.1487037037036
7;26;3875.7404629629627
7;27;3468.0062037037032
8;2;4306.97287037037
8;4;4348.7614814814815
8;5;3940.3746296296295
8;6;4448.332407407407
8;7;4416.124074074074
8;8;3898.373148148148
8;16;3442.1668518518513
8;17;3665.4288888888877
8;20;3994.925925925926
8;21;3551.5545370370373
8;22;4043.5498148148145
8;23;4571.948148148147
8;24;3883.9523148148137
8;25;4369.428703703703
8;26;4064.504722222222
9;1;3407.452407407407
9;2;5141.108425925925
9;3;4781.463888888888
9;4;4230.534722222222
9;5;4045.91361111111
9;7;3815.2213888888887
9;8;4349.38824074074
9;14;4653.374814814815
9;15;3680.3620370370363
9;16;4900.055
9;18;3336.0705555555555
9;26;4281.660833333333
9;27;4877.0375
10;1;4538.758888888889
10;2;5342.206111111111
10;3;5006.356388888888
10;4;4930.207777777778
10;5;3878.930833333333
10;6;5152.773611111112
10;12;4368.093333333333
10;13;5107.789999999999
10;14;4459.369999999999
10;15;3647.715833333333
10;16;4460.863611111111
10;17;3638.396944444444
10;25;4245.154999999999
10;26;5268.371666666666
10;27;5380.821111111111
10;28;4393.8916666666655
10;29;5134.59
10;30;3695.4585185185188
10;31;4952.97287037037
11;1;4353.553518518519
11;7;4510.952592592593
11;17;4789.21462962963
11;20;5453.39962962963
11;21;4294.103888888888
12;11;4022.259259259259
12;20;4384.432222222222
12;21;4539.607962962962
12;26;4422.457222222222
