mes;dia;RadSolar
1;2;3432.7857407407405
1;7;3102.754814814815
1;19;4862.796666666666
1;22;3545.9142592592593
1;23;5395.225185185184
1;26;4332.521111111111
1;27;3225.1496296296295
1;29;3908.09962962963
1;30;3716.7844444444445
2;12;3577.6718518518514
2;16;4503.060185185185
2;18;4156.920555555555
2;20;3567.851018518519
2;22;3223.096851851851
2;24;3258.5674074074063
2;29;3937.326666666666
3;19;3456.6001851851847
3;22;3422.4792592592594
3;23;3328.3931481481477
3;24;4476.39824074074
3;27;3399.474444444445
4;3;3078.483703703703
4;7;3758.069444444444
4;9;4234.357777777776
4;10;3830.894074074074
4;11;3427.1231481481473
4;14;3388.812962962964
4;15;3906.741666666667
4;17;3647.9105555555557
4;20;3674.671851851852
4;27;4898.509537037036
4;28;3082.0179629629633
4;29;3418.120185185185
4;30;3714.7709259259254
5;2;3275.503888888889
5;3;3614.9696296296297
5;8;3289.278611111111
5;11;3906.213148148147
5;12;3520.6688888888893
5;18;3310.1789814814815
5;20;3242.6549074074073
5;21;3202.8050925925922
5;27;3499.715277777778
5;28;3228.105555555555
5;30;4049.064722222222
6;3;3113.4319444444445
6;6;3253.5319444444444
6;12;3102.2025925925927
6;13;4039.077037037037
6;19;3649.9073148148145
6;20;4294.002407407407
6;21;3108.9664814814814
6;24;3138.0071296296296
6;25;3605.749907407407
6;28;3292.2785185185185
6;29;3936.4399999999996
7;1;3322.14712962963
7;3;3768.1475925925934
7;4;3663.650092592593
7;7;3012.9137962962964
7;9;3001.143703703704
7;10;3163.5342592592597
7;13;3529.3174074074072
7;21;3547.7614814814815
7;26;4165.517592592592
7;27;3006.7075925925924
8;2;3375.720555555555
8;4;3118.592037037037
8;6;4377.71037037037
8;7;4132.624166666666
8;8;4463.74861111111
8;16;3953.7896296296294
8;17;3128.5650925925925
8;20;4528.404351851852
8;22;3482.0161111111106
8;23;4867.679166666667
8;24;4423.709907407407
8;25;3205.7315740740737
8;27;3601.4328703703704
9;1;5182.116666666666
9;2;4634.935740740741
9;3;5134.318148148147
9;4;3354.6676851851844
9;5;3708.522222222222
9;7;3922.255185185185
9;8;4808.4804629629625
9;11;3289.1372222222217
9;13;5399.484537037037
9;14;3032.785
9;15;3694.3577777777778
9;16;5097.55111111111
9;20;3291.6085185185184
9;26;4718.638055555557
9;27;3741.8377777777773
10;1;5706.558888888888
10;2;4770.432777777777
10;3;4028.9205555555545
10;4;5410.360277777778
10;5;5632.72111111111
10;6;4623.8775000000005
10;12;3468.6094444444457
10;13;3331.7494444444446
10;14;4100.059166666667
10;16;3900.9952777777785
10;17;3339.768055555556
10;25;4946.540925925927
10;26;4546.70925925926
10;27;5486.302407407407
10;28;4969.337592592592
10;29;5143.084814814815
10;30;4485.622962962963
10;31;4609.702962962962
11;1;4452.922037037037
11;7;3308.1974074074074
11;17;4570.073333333334
11;20;4506.580925925926
11;21;3399.3577777777773
12;11;4985.842037037037
12;18;3031.161851851851
12;20;3865.8290740740736
12;21;4613.772037037036
12;26;4098.378518518518
