mes;dia;RadSolar
1;2;3268.3138888888884
1;7;3085.105
1;11;3192.5564814814807
1;19;4368.620185185184
1;22;3416.0090740740734
1;23;4624.912777777778
1;26;4333.867222222222
1;29;3988.0166666666664
1;30;3593.7135185185184
2;12;3994.669907407407
2;16;4224.137037037038
2;18;3940.1683333333335
2;20;3515.5622222222223
2;22;3195.167777777778
2;24;3290.7642592592592
2;29;3775.6644444444446
3;13;3115.3703703703704
3;19;3705.7890740740736
3;22;3565.5503703703707
3;23;3656.482592592593
3;24;4682.333425925925
3;27;3379.383333333334
3;30;3260.493703703704
4;7;4130.36111111111
4;9;4325.938888888888
4;10;3240.9422222222224
4;11;3531.3199999999997
4;14;3753.1590740740744
4;15;3526.723703703704
4;17;3728.254444444445
4;18;3056.4814814814818
4;20;3893.897222222223
4;27;4869.594166666667
4;28;3174.0114814814815
4;29;4130.681296296296
4;30;4188.297407407407
5;3;3492.1094444444443
5;8;3810.2944444444443
5;9;3668.9267592592596
5;11;3798.2755555555555
5;12;3382.941666666667
5;13;3000.2320370370367
5;18;3258.6776851851855
5;20;3351.2277777777776
5;21;3507.712129629629
5;27;3530.8411111111104
5;29;3045.6958333333328
5;30;4106.027777777777
6;3;3044.771111111111
6;6;3196.271111111111
6;13;4032.5377777777785
6;19;4109.128518518518
6;20;4105.738703703704
6;21;3085.7502777777777
6;25;3327.39212962963
6;28;3717.8625925925926
6;29;4157.65212962963
7;1;3279.9868518518524
7;2;3127.2911574074074
7;3;3806.1375925925927
7;4;3649.060648148148
7;7;3021.407314814815
7;13;3870.5870370370367
7;19;3212.624259259259
7;21;3473.349444444445
7;26;4449.944351851852
7;31;3063.194259259259
8;2;3383.653333333333
8;4;3052.1099999999997
8;6;4284.086481481481
8;7;4365.518333333333
8;8;4321.408333333332
8;16;4357.956481481482
8;17;3183.5716666666663
8;19;3416.3292592592593
8;20;4102.802314814815
8;22;3992.1344444444444
8;23;5113.83212962963
8;24;4625.370833333333
8;27;3574.433796296296
8;28;3463.2358333333336
8;31;3232.8838888888895
9;1;5220.408518518519
9;2;4544.973796296296
9;3;5106.569999999999
9;5;3914.841574074074
9;7;4244.325462962963
9;8;4731.618148148148
9;11;3224.660925925926
9;13;5497.613240740741
9;14;3533.650185185185
9;15;3676.4585185185188
9;16;5434.426296296297
9;18;3561.527592592592
9;20;3369.6427777777776
9;26;4937.184166666667
10;1;5800.465833333333
10;2;4808.268611111111
10;3;3676.4133333333334
10;4;5812.136944444444
10;5;5580.780555555556
10;6;4989.23111111111
10;12;3796.8316666666665
10;13;3495.0519444444444
10;14;4325.317500000001
10;16;3432.2544444444443
10;17;3398.4033333333346
10;25;5185.001481481482
10;26;4974.610370370371
10;27;5104.444629629628
10;28;5288.64388888889
10;29;5225.077777777778
10;30;3739.487777777778
10;31;4575.808981481481
11;1;4555.933148148148
11;7;3497.0920370370372
11;17;4693.945740740741
11;20;4893.285
11;21;3767.0572222222213
12;11;5245.403333333334
12;20;4478.953703703703
12;21;4019.436666666666
12;26;4375.138148148148
