mes;dia;RadSolar
1;2;3351.1966666666667
1;19;4655.222962962963
1;22;3464.7472222222223
1;23;4682.232037037037
1;26;4088.1311111111117
1;29;3916.701851851852
1;30;3819.5911111111113
2;12;4132.147962962963
2;16;3696.933703703704
2;18;4370.345185185184
2;19;3261.2720370370375
2;20;3336.64925925926
2;22;3035.851851851852
2;24;3362.6264814814817
2;29;3580.435000000001
3;19;3968.5264814814823
3;22;3872.0550000000007
3;23;3477.226111111111
3;24;4857.634814814814
3;27;3771.8942592592593
3;30;3133.668518518519
4;7;3962.3387037037037
4;9;3666.2692592592584
4;10;3437.3538888888893
4;11;3524.8846296296288
4;14;3672.907222222222
4;15;4016.9961111111115
4;17;3885.032037037037
4;18;3432.4783333333335
4;20;3550.5566666666673
4;27;4978.857777777778
4;28;3763.5950000000007
4;29;3674.1492592592595
4;30;4276.775555555556
5;3;3889.7924074074076
5;8;3491.324722222222
5;9;3279.0820370370375
5;11;4138.667222222222
5;12;3140.0214814814813
5;18;3287.7251851851856
5;20;3464.783888888889
5;21;3428.4082407407413
5;27;3394.748611111111
5;30;4001.296388888889
6;3;3229.4252777777774
6;6;3145.6483333333335
6;12;3143.957407407408
6;13;3707.95925925926
6;15;3145.5975000000003
6;18;3043.106851851852
6;19;3722.421203703704
6;20;3990.0144444444445
6;25;3527.2453703703695
6;28;3617.549351851852
6;29;4092.5068518518515
7;1;3537.8362037037036
7;2;3081.3975
7;3;3736.3005555555555
7;4;3492.8881481481485
7;6;3016.833055555556
7;7;3074.6258333333335
7;13;3602.774074074074
7;21;3414.307222222222
7;26;4485.585462962963
7;31;3007.0324074074074
8;2;3265.308333333333
8;4;3070.4301851851847
8;6;4284.062222222222
8;7;4231.615
8;8;4226.39398148148
8;16;3951.283518518518
8;17;3152.3440740740734
8;19;3570.193888888889
8;20;4312.766944444445
8;22;4359.441296296297
8;23;4944.490925925926
8;24;4899.421851851852
8;27;3611.648888888889
8;28;3549.1925
8;31;3218.098703703704
9;1;4924.879074074074
9;2;4711.981851851852
9;3;4509.443148148148
9;4;3502.4704629629628
9;5;3911.6898148148143
9;7;4282.540555555555
9;8;4668.464166666667
9;13;4873.797592592592
9;14;3210.148148148148
9;15;3537.3912962962963
9;16;5188.114814814815
9;20;3148.1918518518523
9;26;4757.526388888889
9;27;3275.395277777777
10;1;5021.426111111111
10;2;4839.161111111111
10;3;3811.368888888888
10;4;5543.468055555555
10;5;5340.601388888889
10;6;4670.5633333333335
10;12;3747.4713888888896
10;13;3367.508055555556
10;14;4222.520277777779
10;16;3547.7302777777786
10;17;3527.954444444445
10;25;4959.951111111112
10;26;5207.335000000001
10;27;4895.221666666666
10;28;5443.783148148148
10;29;5501.012222222223
10;30;4236.876851851851
10;31;4522.90111111111
11;1;3746.9055555555556
11;7;3437.8698148148146
11;17;4463.181296296297
11;20;4149.895925925925
11;21;3587.862222222221
12;11;5154.485555555555
12;20;3867.4029629629626
12;21;3404.9461111111113
12;26;4057.2201851851855
