mes;dia;RadSolar
1;2;3264.591481481481
1;7;3293.7531481481483
1;11;3340.920185185185
1;19;3278.673333333333
1;22;3213.4477777777774
1;23;5563.24037037037
1;26;4004.735
1;27;3239.416851851852
1;29;4074.340185185185
1;30;3939.7075925925924
2;12;5264.969351851852
2;16;5401.309814814815
2;18;4803.107222222222
2;19;3691.1017592592593
2;20;4439.329629629629
2;22;3981.831296296296
2;24;3402.397592592593
2;29;4397.603888888889
3;16;3496.888148148148
3;19;3765.2888888888892
3;22;3674.625185185185
3;23;3731.6173148148146
3;24;4004.1842592592593
3;27;3502.070740740741
3;30;3240.035925925926
4;3;4114.849444444444
4;7;3814.5574074074066
4;9;3348.3238888888886
4;10;3459.611111111111
4;11;4062.023703703703
4;14;4162.069074074075
4;15;3309.5266666666666
4;17;4136.198888888888
4;18;4107.935555555555
4;20;4063.090740740741
4;27;4950.440555555555
4;28;4527.886296296297
4;29;4381.705185185185
4;30;3999.165185185185
5;2;3659.6812037037034
5;3;4726.195
5;7;3180.6239814814817
5;8;4536.807592592592
5;9;4119.012037037037
5;11;4270.1241666666665
5;12;4405.691481481482
5;14;3331.2505555555554
5;18;4203.55462962963
5;19;3562.610555555556
5;20;4110.551111111112
5;21;4130.490370370369
5;24;3388.2052777777776
5;27;3983.308888888889
5;28;3745.1694444444443
5;29;3790.961851851852
5;30;4395.3533333333335
5;31;3348.8316666666665
6;1;3601.8186111111117
6;3;3751.025833333334
6;4;3012.9377777777772
6;6;3598.2388888888886
6;12;3604.3011111111114
6;13;4208.602037037037
6;15;3638.9185185185183
6;17;3983.782407407408
6;18;4262.786666666667
6;19;4101.433796296295
6;20;4203.222407407407
6;21;3581.966203703704
6;22;3131.115370370371
6;24;3828.9485185185185
6;25;3638.5534259259257
6;28;3773.7336111111113
6;29;4636.833611111111
6;30;4060.613240740741
7;1;4238.264351851852
7;2;4363.289212962963
7;3;5091.3550000000005
7;4;4484.714351851852
7;6;3561.5159259259262
7;7;3504.3330555555553
7;9;3191.0385185185187
7;10;3576.8118518518518
7;13;4084.203888888889
7;15;3413.0825
7;16;3053.4355555555553
7;18;4416.5199999999995
7;19;3118.7523148148152
7;21;4097.139444444444
7;25;4456.037962962963
7;26;3815.370740740741
7;27;3288.4767592592593
7;31;3244.364259259259
8;2;3703.049351851851
8;4;4520.277592592593
8;5;3459.3735185185187
8;6;5256.128148148148
8;7;4093.46074074074
8;8;3838.331481481481
8;12;3071.0688888888885
8;16;4808.206851851852
8;17;3458.1947222222225
8;19;3583.165370370371
8;20;3497.5812037037035
8;22;4778.49037037037
8;23;4635.825833333333
8;24;4702.704074074074
8;25;3496.850740740741
8;26;3415.5389814814816
8;27;3817.8132407407406
8;28;4172.376111111111
9;1;4990.048333333333
9;2;5342.457314814814
9;3;3851.9496296296293
9;4;3860.172777777778
9;5;4503.709259259259
9;7;4269.22074074074
9;8;4097.887592592592
9;13;5136.217129629629
9;14;4472.628333333334
9;15;3689.3203703703707
9;16;4743.388518518519
9;18;3217.3685185185195
9;20;3411.24388888889
9;26;4717.158333333333
9;27;3385.595833333333
10;1;4588.7925
10;2;3574.5919444444444
10;3;4239.422222222222
10;4;3894.485555555556
10;5;4735.311388888889
10;6;5724.031388888889
10;12;3708.3141666666675
10;13;4104.319722222223
10;14;3678.915555555556
10;15;3446.338333333333
10;16;4715.090277777777
10;25;5102.766481481482
10;26;4504.768703703704
10;27;5182.426851851852
10;28;5386.447777777778
10;29;5020.926851851852
10;30;4098.3788888888885
10;31;3997.700648148148
11;1;4849.42537037037
11;7;3997.668333333333
11;17;5036.602407407408
11;20;4876.670000000001
11;21;4558.318148148149
11;22;3203.103703703704
12;11;3816.3401851851854
12;20;3539.632777777778
12;21;3725.4018518518515
12;26;3648.892037037037
