ann;mes;dia;hora;reflectancia;nc;N;Hext;RadSolar
2014.0;1.0;1.0;7.0;0.02290548370084796;0.056266462834445086;11.901606124786424;9740.701088730277;21.9
2014.0;1.0;1.0;10.0;0.0917869662542404;0.03385376644333353;11.901606124786424;9740.701088730277;620.3
2014.0;1.0;1.0;13.0;0.17892537107140044;0.07066912749368753;11.901606124786424;9740.701088730277;578.4
2014.0;1.0;1.0;16.0;0.08431416053893122;0.10389105167801393;11.901606124786424;9740.701088730277;271.2
2014.0;1.0;2.0;7.0;0.019627583847999532;0.04121323313854671;11.901984338742793;9747.386530213531;24.9
2014.0;1.0;2.0;10.0;0.10294059703920164;0.0458426936519622;11.901984338742793;9747.386530213531;621.3
2014.0;1.0;2.0;13.0;1.0874962212685295;0.7839125959300258;11.901984338742793;9747.386530213531;0.0
2014.0;1.0;2.0;16.0;0.039504630414249724;0.023246131992560246;11.901984338742793;9747.386530213531;0.0
2014.0;1.0;3.0;7.0;0.031067609789456774;0.09374971867947789;11.902398354553846;9754.57161185407;0.0
2014.0;1.0;3.0;10.0;0.11185184164529284;0.05542130217688871;11.902398354553846;9754.57161185407;0.0
2014.0;1.0;3.0;13.0;0.5330718466099922;0.34868009437958963;11.902398354553846;9754.57161185407;0.0
2014.0;1.0;3.0;16.0;0.10245162758699083;0.13653354021378783;11.902398354553846;9754.57161185407;0.0
2014.0;1.0;4.0;7.0;0.06538489031856254;0.25134632917211003;11.902847845777336;9762.246921741018;0.0
2014.0;1.0;4.0;10.0;0.34886274899705266;0.3101819779312422;11.902847845777336;9762.246921741018;0.0
2014.0;1.0;4.0;13.0;0.9157568079854066;0.6490942548279536;11.902847845777336;9762.246921741018;0.0
2014.0;1.0;4.0;16.0;0.04497782152844745;0.03309638162917706;11.902847845777336;9762.246921741018;0.0
2014.0;1.0;5.0;7.0;0.07516799540192437;0.29627367124175397;11.903332459642732;9770.40228074398;0.0
2014.0;1.0;5.0;10.0;0.8473027858340579;0.8459502344493212;11.903332459642732;9770.40228074398;0.0
2014.0;1.0;5.0;13.0;1.0056467270694556;0.7196593600710487;11.903332459642732;9770.40228074398;0.0
2014.0;1.0;5.0;16.0;0.153068961997837;0.22763092188452358;11.903332459642732;9770.40228074398;0.0
2014.0;1.0;6.0;7.0;0.07024184672970064;0.2736511230224452;11.903851817964522;9779.026760674711;0.0
2014.0;1.0;6.0;10.0;1.0661044351911413;1.0;11.903851817964522;9779.026760674711;57.8
2014.0;1.0;6.0;13.0;0.4997112397373201;0.3224914543303924;11.903851817964522;9779.026760674711;469.7
2014.0;1.0;6.0;16.0;0.1946690219344037;0.302499671526837;11.903851817964522;9779.026760674711;386.9
2014.0;1.0;7.0;7.0;0.06205232085061727;0.2360420380312673;11.90440551811034;9788.108703849204;0.0
2014.0;1.0;7.0;10.0;0.7865357289384329;0.7806323271373321;11.90440551811034;9788.108703849204;144.6
2014.0;1.0;7.0;11.0;0.6894014280076405;0.5362362184819381;11.90440551811034;9788.108703849204;288.2
2014.0;1.0;7.0;12.0;0.8890771404489238;0.622299934304616;11.90440551811034;9788.108703849204;595.3
2014.0;1.0;7.0;13.0;0.23623699781399565;0.11565972281242184;11.90440551811034;9788.108703849204;613.3
2014.0;1.0;7.0;14.0;1.2814680661707782;1.0;11.90440551811034;9788.108703849204;0.0
2014.0;1.0;7.0;15.0;0.60009940821256;0.8150573290426443;11.90440551811034;9788.108703849204;433.8
2014.0;1.0;7.0;16.0;0.09561996574696977;0.12423841417980123;11.90440551811034;9788.108703849204;372.0
2014.0;1.0;8.0;7.0;0.06202969900842531;0.23593815084680556;11.904993134019177;9797.635744001138;14.0
2014.0;1.0;8.0;10.0;0.8042389964488924;0.7996613939613795;11.904993134019177;9797.635744001138;558.4
2014.0;1.0;8.0;13.0;1.3024486683693943;0.9526538986978128;11.904993134019177;9797.635744001138;320.1
2014.0;1.0;8.0;16.0;0.4965916706027554;0.8458780038889361;11.904993134019177;9797.635744001138;178.5
2014.0;1.0;9.0;7.0;0.04895236654010917;0.17588259750702656;11.905614217264745;9807.594828493862;16.0
