anno;mes;dia;hora;ndig;reflectancia;rmin;rmax;nc;N;Hext;brilloSolarC;dj
2012.0;1.0;1.0;7.0;39.0;0.015522307734274;0.0108624998346051;0.29726080806441063;0.016270375088702962;11.745692819684622;9402.399921552002;0.983729624911297;1.0
2012.0;1.0;1.0;10.0;68.0;0.0822508803509538;0.0671914412944251;1.0450541427095281;0.015400361456404471;11.745692819684622;9402.399921552002;0.9845996385435956;1.0
2012.0;1.0;1.0;13.0;82.0;0.1221734773044128;0.1181892664489795;1.317768683590457;0.0033213397950153513;11.745692819684622;9402.399921552002;0.9966786602049846;1.0
2012.0;1.0;1.0;16.0;133.0;0.1726773565033922;-0.0436231755053656;0.45195793818247537;0.4364583839750645;11.745692819684622;9402.399921552002;0.5635416160249356;1.0
2012.0;1.0;2.0;6.0;30.0;0.0015165915452168;0.0;0.03024209998422352;0.05014835431428256;11.74667065060725;9410.064150893348;0.9498516456857174;2.0
2012.0;1.0;2.0;7.0;36.0;0.0108624998346051;0.0108624998346051;0.29726080806441063;0.0;11.74667065060725;9410.064150893348;1.0;2.0
2012.0;1.0;2.0;8.0;44.0;0.0250804109978374;0.0250804109978374;0.31215678000073604;0.0;11.74667065060725;9410.064150893348;1.0;2.0
2012.0;1.0;2.0;9.0;54.0;0.0467076235498329;-0.0577208134809705;0.6117890198812032;0.15597745070655666;11.74667065060725;9410.064150893348;0.8440225492934433;2.0
2012.0;1.0;2.0;10.0;62.0;0.0695785768462411;0.0671914412944251;1.0450541427095281;0.002441176607269587;11.74667065060725;9410.064150893348;0.9975588233927304;2.0
2012.0;1.0;2.0;11.0;72.0;0.0997085103466757;0.0997085103466757;1.173557529338496;0.0;11.74667065060725;9410.064150893348;1.0;2.0
2012.0;1.0;2.0;12.0;91.0;0.1488720958565224;0.1343939718507399;1.2884749300600593;0.012545154568919376;11.74667065060725;9410.064150893348;0.9874548454310806;2.0
2012.0;1.0;2.0;13.0;116.0;0.2008093617562626;0.1181892664489795;1.317768683590457;0.06887421885260553;11.74667065060725;9410.064150893348;0.9311257811473945;2.0
2012.0;1.0;2.0;16.0;134.0;0.1744943812883455;-0.0436231755053656;0.45195793818247537;0.4401248368215663;11.74667065060725;9410.064150893348;0.5598751631784338;2.0
2012.0;1.0;3.0;6.0;30.0;0.0015166748603539;0.0;0.03024209998422352;0.0501511092531639;11.747741039271911;9418.32711045827;0.9498488907468361;3.0
2012.0;1.0;3.0;7.0;71.0;0.0651555877789744;0.0108624998346051;0.29726080806441063;0.18957195759970974;11.747741039271911;9418.32711045827;0.8104280424002903;3.0
2012.0;1.0;3.0;8.0;47.0;0.0300812960502512;0.0250804109978374;0.31215678000073604;0.017420051221155388;11.747741039271911;9418.32711045827;0.9825799487788446;3.0
2012.0;1.0;3.0;9.0;59.0;0.056021173877338;-0.0577208134809705;0.6117890198812032;0.1698884492661057;11.747741039271911;9418.32711045827;0.8301115507338943;3.0
2012.0;1.0;3.0;10.0;72.0;0.0906422333136639;0.0671914412944251;1.0450541427095281;0.02398168166686617;11.747741039271911;9418.32711045827;0.9760183183331338;3.0
2012.0;1.0;3.0;13.0;238.0;0.4830496480021116;0.1181892664489795;1.317768683590457;0.30415692061687044;11.747741039271911;9418.32711045827;0.6958430793831296;3.0
2012.0;1.0;3.0;16.0;238.0;0.3476362503352752;-0.0436231755053656;0.45195793818247537;0.7894962399376042;11.747741039271911;9418.32711045827;0.2105037600623958;3.0
2012.0;1.0;4.0;7.0;75.0;0.071338841531339;0.0108624998346051;0.29726080806441063;0.21116165828817599;11.748903140629125;9427.179106041704;0.788838341711824;4.0
2012.0;1.0;4.0;10.0;314.0;0.6006512715973606;0.0671914412944251;1.0450541427095281;0.5455365354777774;11.748903140629125;9427.179106041704;0.45446346452222264;4.0
2012.0;1.0;4.0;13.0;433.0;0.93502751793142;0.1181892664489795;1.317768683590457;0.6809372016643256;11.748903140629125;9427.179106041704;0.3190627983356744;4.0
2012.0;1.0;4.0;16.0;140.0;0.1847926275643635;-0.0436231755053656;0.45195793818247537;0.46090497955013826;11.748903140629125;9427.179106041704;0.5390950204498617;4.0
2012.0;1.0;5.0;7.0;96.0;0.1038733429690388;0.0108624998346051;0.29726080806441063;0.32476044886341277;11.750156041492584;9436.609642481746;0.6752395511365872;5.0
2012.0;1.0;5.0;10.0;213.0;0.3877265858700838;0.0671914412944251;1.0450541427095281;0.32779156430836337;11.750156041492584;9436.609642481746;0.6722084356916367;5.0
2012.0;1.0;5.0;13.0;295.0;0.6165077877946779;0.1181892664489795;1.317768683590457;0.4154110300868284;11.750156041492584;9436.609642481746;0.5845889699131717;5.0
2012.0;1.0;5.0;16.0;318.0;0.4815466858520921;-0.0436231755053656;0.45195793818247537;1.0;11.750156041492584;9436.609642481746;0.0;5.0
2012.0;1.0;6.0;7.0;100.0;0.1100383352610173;0.0108624998346051;0.29726080806441063;0.3462863870928793;11.751498762906817;9446.607441550776;0.6537136129071207;6.0
2012.0;1.0;6.0;10.0;104.0;0.1580207083720716;0.0671914412944251;1.0450541427095281;0.09288550115083023;11.751498762906817;9446.607441550776;0.9071144988491697;6.0
2012.0;1.0;6.0;13.0;269.0;0.5570549128954868;0.1181892664489795;1.317768683590457;0.36584959709653625;11.751498762906817;9446.607441550776;0.6341504029034637;6.0
2012.0;1.0;6.0;16.0;208.0;0.2985164085987845;-0.0436231755053656;0.45195793818247537;0.6903805949305377;11.751498762906817;9446.607441550776;0.3096194050694623;6.0
2012.0;1.0;7.0;7.0;76.0;0.0728174019364486;0.0108624998346051;0.29726080806441063;0.2163242600306528;11.752930262656829;9457.16046124589;0.7836757399693473;7.0
2012.0;1.0;7.0;10.0;77.0;0.1011238655913108;0.0671914412944251;1.0450541427095281;0.03470060188181917;11.752930262656829;9457.16046124589;0.9652993981181808;7.0
2012.0;1.0;7.0;13.0;340.0;0.7229237236989353;0.1181892664489795;1.317768683590457;0.5041220686255188;11.752930262656829;9457.16046124589;0.4958779313744812;7.0
2012.0;1.0;7.0;16.0;58.0;0.0484042217531831;-0.0436231755053656;0.45195793818247537;0.18569593294976805;11.752930262656829;9457.16046124589;0.814304067050232;7.0
2012.0;1.0;8.0;7.0;40.0;0.0170363674895937;0.0108624998346051;0.29726080806441063;0.021556927808507504;11.754449437907514;9468.25591643249;0.9784430721914925;8.0
2012.0;1.0;8.0;10.0;108.0;0.1664231840394918;0.0671914412944251;1.0450541427095281;0.10147819586682731;11.754449437907514;9468.25591643249;0.8985218041331727;8.0
2012.0;1.0;8.0;13.0;528.0;1.1616972611636132;0.1181892664489795;1.317768683590457;0.869894881325363;11.754449437907514;9468.25591643249;0.13010511867463703;8.0
2012.0;1.0;8.0;16.0;93.0;0.1069129810884259;-0.0436231755053656;0.45195793818247537;0.3037568471356476;11.754449437907514;9468.25591643249;0.6962431528643525;8.0
2012.0;1.0;9.0;7.0;37.0;0.0123855888867837;0.0108624998346051;0.29726080806441063;0.005318079780542823;11.756055127959923;9479.880300791232;0.9946819202194572;9.0
2012.0;1.0;9.0;10.0;67.0;0.0800496026957424;0.0671914412944251;1.0450541427095281;0.013149250280954332;11.756055127959923;9479.880300791232;0.9868507497190456;9.0
2012.0;1.0;9.0;13.0;488.0;1.0702369766896422;0.1181892664489795;1.317768683590457;0.7936512552952373;11.756055127959923;9479.880300791232;0.20634874470476272;9.0
2012.0;1.0;9.0;16.0;188.0;0.2658322493248733;-0.0436231755053656;0.45195793818247537;0.624429414848848;11.756055127959923;9479.880300791232;0.37557058515115205;9.0
2012.0;1.0;10.0;7.0;38.0;0.0139285831596205;0.0108624998346051;0.29726080806441063;0.010705661440413189;11.757746117111417;9492.019410015511;0.9892943385595868;10.0
2012.0;1.0;10.0;10.0;61.0;0.0674107022595099;0.0671914412944251;1.0450541427095281;0.00022422469408793443;11.757746117111417;9492.019410015511;0.9997757753059121;10.0
2012.0;1.0;10.0;13.0;112.0;0.193835892842243;0.1181892664489795;1.317768683590457;0.06306095729245229;11.757746117111417;9492.019410015511;0.9369390427075477;10.0
2012.0;1.0;10.0;16.0;95.0;0.1104356015948267;-0.0436231755053656;0.45195793818247537;0.31086490757037116;11.757746117111417;9492.019410015511;0.6891350924296289;10.0
2012.0;1.0;11.0;7.0;69.0;0.0618810417318828;0.0108624998346051;0.29726080806441063;0.17813841922676618;11.759521137606225;9504.65836620344;0.8218615807732338;11.0
2012.0;1.0;11.0;10.0;119.0;0.1896002924267428;0.0671914412944251;1.0450541427095281;0.12517999812772806;11.759521137606225;9504.65836620344;0.8748200018722719;11.0
2012.0;1.0;11.0;13.0;92.0;0.1473665601288943;0.1181892664489795;1.317768683590457;0.02432293624163914;11.759521137606225;9504.65836620344;0.9756770637583608;11.0
2012.0;1.0;11.0;16.0;66.0;0.0619606187259995;-0.0436231755053656;0.45195793818247537;0.21305048016392072;11.759521137606225;9504.65836620344;0.7869495198360793;11.0
2012.0;1.0;12.0;7.0;116.0;0.1345381776249414;0.0108624998346051;0.29726080806441063;0.4318310347388614;11.761378872663071;9517.781643385364;0.5681689652611386;12.0
2012.0;1.0;12.0;10.0;487.0;0.964925542974521;0.0671914412944251;1.0450541427095281;0.9180574127440899;11.761378872663071;9517.781643385364;0.08194258725591008;12.0
2012.0;1.0;12.0;13.0;562.0;1.2488226797853434;0.1181892664489795;1.317768683590457;0.9425248526109197;11.761378872663071;9517.781643385364;0.05747514738908033;12.0
2012.0;1.0;12.0;16.0;301.0;0.4558539162844075;-0.0436231755053656;0.45195793818247537;1.0;11.761378872663071;9517.781643385364;0.0;12.0
2012.0;1.0;13.0;7.0;78.0;0.0757437040630969;0.0108624998346051;0.29726080806441063;0.22654185574459196;11.763317959566193;9531.373094125282;0.773458144255408;13.0
